date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:53:30	117466/117466	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:05%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718035_58351	J:/$projects/DigestExt/DigestPlus/web/_17718035_58351.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:31	248016/248016	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:05%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718022_58351	J:/$projects/DigestExt/DigestPlus/web/_17718022_58351.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:31	207742/207742	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:05%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718021_58496	J:/$projects/DigestExt/DigestPlus/web/_17718021_58496.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:31	106103/106103	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:06%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718023_58496	J:/$projects/DigestExt/DigestPlus/web/_17718023_58496.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:31	88172/88172	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:06%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718036_70194	J:/$projects/DigestExt/DigestPlus/web/_17718036_70194.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:31	87814/87814	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:06%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718032_53039	J:/$projects/DigestExt/DigestPlus/web/_17718032_53039.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:32	365746/365746	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:06%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718018_71442	J:/$projects/DigestExt/DigestPlus/web/_17718018_71442.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:32	83867/83867	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:07%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/TeSysFACCoils-7DE8B563	J:/$projects/DigestExt/DigestPlus/web/tesysfaccoils-7de8b563.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:32	82766/82766	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:07%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718019_13642	J:/$projects/DigestExt/DigestPlus/web/_17718019_13642.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:32	140037/140037	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:07%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/TeSysFDCCoils-7DE84CAF	J:/$projects/DigestExt/DigestPlus/web/tesysfdccoils-7de84caf.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:33	121377/121377	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:08%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718013_95367	J:/$projects/DigestExt/DigestPlus/web/_17718013_95367.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:33	111035/111035	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:08%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718038_58496	J:/$projects/DigestExt/DigestPlus/web/_17718038_58496.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:33	104686/104686	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:08%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718039_58351	J:/$projects/DigestExt/DigestPlus/web/_17718039_58351.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:34	183228/183228	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:08%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718040_58351	J:/$projects/DigestExt/DigestPlus/web/_17718040_58351.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:34	96125/96125	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:09%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718041_18103	J:/$projects/DigestExt/DigestPlus/web/_17718041_18103.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:34	271510/271510	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:09%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718042_58351	J:/$projects/DigestExt/DigestPlus/web/_17718042_58351.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:34	139170/139170	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:09%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718044_58496	J:/$projects/DigestExt/DigestPlus/web/_17718044_58496.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
08:53:35	96285/96285	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2020%20Nov%202015%2013:53:10%20GMT	http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d/r/_17718046_58496	J:/$projects/DigestExt/DigestPlus/web/_17718046_58496.html	(from http://www.productinfo.schneider-electric.com/portals/ui/digest/viewer/561d5d65e4b0c5c41a243bf2/561d5f9ae4b0c5c41a24482d)
